2019-09-17 5:35:38 - PHP Warning:  unlink(D:/OpenServer/OSPanel/domains/mulai.loc/system/storage/cache/cache.catalog.language.1568702138): Resource temporarily unavailable in D:\OpenServer\OSPanel\domains\mulai.loc\system\library\cache\file.php on line 68
2019-09-17 5:36:10 - PHP Warning:  unlink(D:/OpenServer/OSPanel/domains/mulai.loc/system/storage/cache/cache.catalog.language.1568702170): Resource temporarily unavailable in D:\OpenServer\OSPanel\domains\mulai.loc\system\library\cache\file.php on line 68
2019-09-18 14:10:06 - PHP Warning:  unlink(D:/OpenServer/OSPanel/domains/mulai.loc/system/storage/cache/cache.catalog.language.1568819406): Resource temporarily unavailable in D:\OpenServer\OSPanel\domains\mulai.loc\system\library\cache\file.php on line 68
2020-01-05 9:46:37 - PHP Notice:  Undefined index: code in D:\OpenServer\OSPanel\domains\mulai.loc\admin\model\design\layout.php on line 38
2020-01-05 9:46:37 - PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\OpenServer\OSPanel\domains\mulai.loc\admin\controller\startup\error.php:34) in D:\OpenServer\OSPanel\domains\mulai.loc\system\library\response.php on line 36
2020-01-30 15:28:17 - PHP Warning:  unlink(D:/OpenServer/OSPanel/domains/mulai.loc/system/storage/cache/cache.admin.language.1578222903): Permission denied in D:\OpenServer\OSPanel\domains\mulai.loc\system\library\cache\file.php on line 17
2020-01-30 15:28:18 - PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\OpenServer\OSPanel\domains\mulai.loc\system\framework.php:42) in D:\OpenServer\OSPanel\domains\mulai.loc\catalog\controller\startup\session.php on line 25
2020-01-30 15:28:18 - PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\OpenServer\OSPanel\domains\mulai.loc\system\framework.php:42) in D:\OpenServer\OSPanel\domains\mulai.loc\catalog\controller\startup\startup.php on line 99
2020-01-30 15:28:18 - PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\OpenServer\OSPanel\domains\mulai.loc\system\framework.php:42) in D:\OpenServer\OSPanel\domains\mulai.loc\catalog\controller\startup\startup.php on line 157
2020-02-11 8:51:46 - PHP Warning:  unlink(D:/OpenServer/OSPanel/domains/mulai.loc/system/storage/cache/cache.catalog.language.1581414706): Resource temporarily unavailable in D:\OpenServer\OSPanel\domains\mulai.loc\system\library\cache\file.php on line 68
2020-02-11 19:34:50 - PHP Warning:  file_put_contents(D:/OpenServer/OSPanel/domains/mulai.loc/system/storage/cache/lightning/gd): failed to open stream: No such file or directory in D:\OpenServer\OSPanel\domains\mulai.loc\catalog\controller\extension\lightning\beta.php on line 19
